timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
4.683429,Stairs Up,-0.119415,-0.466232,-0.847,0.257766,-0.487904,-0.131592
4.701113,Stairs Up,-0.136505,-0.512146,-0.684677,0.133493,-0.6165,-0.253053
4.721103,Stairs Up,-0.136505,-0.512146,-0.684677,-0.099776,-0.600589,-0.403726
4.741423,Stairs Up,-0.102707,-0.445587,-0.775543,-0.160511,-0.485926,-0.447158
4.765468,Stairs Up,-0.102707,-0.445587,-0.775543,-0.033394,-0.490683,-0.366406
4.784348,Stairs Up,-0.055481,-0.419907,-0.807953,0.188961,-0.396535,-0.244344
4.80067,Stairs Up,-0.063232,-0.440353,-0.821609,0.358904,-0.380651,-0.243408
4.821089,Stairs Up,-0.109085,-0.529007,-0.671997,0.419836,-0.49701,-0.384202
4.841084,Stairs Up,-0.107605,-0.545761,-0.652206,0.250579,-0.655865,-0.557816
4.866046,Stairs Up,-0.107605,-0.545761,-0.652206,0.067876,-0.528126,-0.6096
4.883284,Stairs Up,-0.058487,-0.516235,-0.763397,0.141692,-0.227185,-0.506625
4.901084,Stairs Up,0.06012,-0.547012,-0.875031,0.426143,-0.049058,-0.364597
4.92108,Stairs Up,0.069214,-0.617462,-0.76741,0.630213,-0.349129,-0.398705
4.941106,Stairs Up,0.035172,-0.623764,-0.797043,0.622683,-0.411819,-0.540114
4.966898,Stairs Up,0.044006,-0.592896,-0.823471,0.357344,-0.117294,-0.639531
4.981139,Stairs Up,0.098129,-0.608368,-0.831833,-0.083361,0.429422,-0.696384
5.001084,Stairs Up,0.188217,-0.614197,-0.825668,-0.532749,0.883012,-0.751462
0.035974,Stairs Up,0.027039,-0.611099,-0.844879,-0.068503,0.184788,0.324868
0.040523,Stairs Up,0.03627,-0.619476,-0.906204,-0.044037,0.129006,0.348353
0.060726,Stairs Up,-0.005096,-0.684723,-1.003754,0.199792,0.087945,0.344985
0.081112,Stairs Up,-0.068146,-0.74942,-0.985718,0.475837,0.170579,0.23707
0.10111,Stairs Up,-0.01944,-0.735947,-0.868423,0.463952,0.10314,0.194578
0.122266,Stairs Up,-0.01944,-0.735947,-0.868423,0.396057,-0.037601,0.222912
0.141204,Stairs Up,-0.026169,-0.747437,-0.926849,0.2739,0.184856,0.0771
0.161119,Stairs Up,-0.106049,-0.704346,-1.051178,-0.013768,0.621302,-0.047408
0.181103,Stairs Up,-0.035065,-0.594833,-1.038605,-0.261843,1.106969,0.21469
0.200473,Stairs Up,-0.03096,-0.566345,-0.880539,-0.503454,0.8546,0.480171
0.222189,Stairs Up,-0.03096,-0.566345,-0.880539,-0.703231,0.126308,0.279144
0.241087,Stairs Up,-0.117401,-0.572403,-0.986313,-0.573941,-0.274123,0.091502
0.261131,Stairs Up,-0.097916,-0.520813,-1.162598,0.031022,-0.260031,0.125808
0.281099,Stairs Up,-0.135849,-0.525681,-1.047318,0.645713,-0.128651,0.180763
0.301119,Stairs Up,-0.18309,-0.542267,-0.846664,0.732179,0.101591,0.186733
0.321877,Stairs Up,-0.18309,-0.542267,-0.846664,0.439328,0.235734,0.117539
0.341215,Stairs Up,-0.139999,-0.533524,-0.67038,0.097088,0.176362,-0.028123
0.361118,Stairs Up,-0.099655,-0.542694,-0.712189,-0.099737,0.177548,-0.117098
0.381117,Stairs Up,-0.043747,-0.510864,-0.712463,-0.226532,0.363707,-0.066486
0.400783,Stairs Up,-0.02005,-0.510284,-0.683884,-0.245213,0.257818,-0.009421
0.422985,Stairs Up,-0.02005,-0.510284,-0.683884,-0.121874,0.043815,0.021806
0.440794,Stairs Up,-0.033249,-0.531479,-0.688599,-0.040659,-0.000938,-0.005406
0.461122,Stairs Up,-0.032272,-0.54361,-0.570343,-0.068152,-0.226496,-0.106848
0.481107,Stairs Up,-0.002655,-0.465179,-0.629669,0.019197,-0.428927,-0.128245
0.500794,Stairs Up,-0.001923,-0.446671,-0.708923,0.229904,-0.464707,-0.022693
0.522973,Stairs Up,-0.001923,-0.446671,-0.708923,0.342005,-0.405641,-0.013048
0.541719,Stairs Up,-0.038147,-0.509338,-0.668442,0.281576,-0.401159,-0.050671
0.561134,Stairs Up,-0.032303,-0.543808,-0.579025,0.127852,-0.435709,-0.086704
0.581111,Stairs Up,-0.056808,-0.573425,-0.665344,0.028183,-0.440117,-0.115802
0.601126,Stairs Up,-0.066391,-0.628052,-0.821777,0.158719,-0.242879,-0.148933
0.623928,Stairs Up,-0.047333,-0.670105,-0.839722,0.374271,0.03468,-0.119774
0.640277,Stairs Up,-0.015457,-0.718018,-0.713394,0.422013,0.027752,-0.118481
0.660577,Stairs Up,0.002884,-0.763824,-0.660278,0.331285,-0.399995,-0.165246
0.680439,Stairs Up,-0.043076,-0.797104,-0.815521,0.22849,-0.568523,-0.277523
0.70111,Stairs Up,-0.086227,-0.77832,-1.009628,0.105233,-0.052346,-0.279966
0.723458,Stairs Up,-0.038818,-0.685059,-1.143372,-0.043305,0.707083,-0.032562
0.741125,Stairs Up,0.029877,-0.74498,-1.124435,0.095167,0.975571,0.206824
0.761122,Stairs Up,0.003357,-0.900757,-0.892014,0.155499,0.497819,0.186096
0.781114,Stairs Up,-0.050735,-0.905914,-0.807114,-0.22048,0.032778,-0.080799
0.801113,Stairs Up,0.008453,-0.732498,-0.954773,-0.572878,0.126293,-0.137098
0.824466,Stairs Up,0.122513,-0.55574,-1.024979,-0.566912,0.242023,0.140352
0.841086,Stairs Up,0.117294,-0.541428,-1.052444,-0.082909,0.071322,0.449569
0.861124,Stairs Up,-0.029449,-0.671463,-0.947617,0.408996,-0.157452,0.347275
0.881107,Stairs Up,-0.098984,-0.719818,-0.789597,0.401946,-0.11912,0.00094
0.901108,Stairs Up,-0.052078,-0.634552,-0.740631,0.090126,0.225328,-0.273622
0.924927,Stairs Up,0.060501,-0.524567,-0.722794,-0.047246,0.425511,-0.355465
0.94113,Stairs Up,0.141083,-0.476669,-0.666306,0.027898,0.330557,-0.233191
0.961115,Stairs Up,0.135635,-0.496185,-0.626556,0.026105,0.230711,-0.162391
0.980592,Stairs Up,0.098221,-0.509247,-0.632904,-0.068432,0.350699,-0.195857
1.00111,Stairs Up,0.153,-0.498779,-0.59024,-0.135534,0.341525,-0.144155
1.023139,Stairs Up,0.162262,-0.501938,-0.586914,-0.091269,0.148364,-0.002317
1.041108,Stairs Up,0.123596,-0.504074,-0.587128,-0.009652,-0.00255,0.127329
1.06058,Stairs Up,0.057098,-0.527405,-0.585983,0.002805,-0.04007,0.130429
